ga:sourceMedium,ga:pageTitle,ga:users,ga:bounceRate,ga:pageviews,ga:pageviewsPerSession,ga:avgTimeOnPage
facebook / cpc,Meme Kocak Sambut Rumah DP Rp 0 Langsung Ramai Bertebaran,27.0,100.0,368.0,40.8888888888888,12.8771428571428
facebook / cpc,Ini Alasan 2 Siswa SMK Bunuh dan Rampok Driver Taksi di Semarang,323.0,50.0,350.0,9.72222222222222,170.864541832669
facebook / cpc,Foto: Gus Ipul Diapit Via Vallen-Nella Kharisma,18.0,100.0,341.0,37.8888888888888,14.7108433734939
facebook / cpc,"Guncangan Terasa Kencang di Jakarta, Pusat Gempa di Banten",242.0,35.2941176470588,332.0,2.16993464052287,155.227678571428
facebook / cpc,Hantu Fake GPS yang Kerap Jadi Momok Grab,296.0,50.0,323.0,8.97222222222222,135.950892857142
facebook / cpc,Ini Kesimpulan Polisi Usai Periksa Ibu yang Bunuh 3 Anaknya,287.0,66.6666666666666,323.0,11.9629629629629,173.217647058823
google / cpc,Gempa Keras Guncang Jakarta,206.0,27.7777777777777,323.0,1.99382716049382,85.038626609442
facebook / cpc,Foto: Pernah Lihat Arab Saudi Sehijau Ini?,54.0,50.0,314.0,17.4444444444444,40.7843866171003
facebook / cpc,Go-Jek: Driver Bawa 'Tuyul' Bisa Dipecat,233.0,53.3333333333333,305.0,2.25925925925925,198.580419580419
facebook / cpc,"Jakarta Berkelas Dunia, Ini 5 Mimpi Sandiaga Uno",242.0,64.5418326693227,305.0,1.21513944223107,449.897196261682
facebook / cpc,"Viral Video Kakek Nikahi Gadis 17 Tahun di Batang, Ini Yang Terjadi",287.0,62.5,305.0,4.23611111111111,103.208
facebook / cpc,"Kemendagri: Pasha 'Ungu' Pejabat Publik, Gaya Rambutnya Tak Etis",224.0,12.5581395348837,296.0,1.37674418604651,4.80669144981412
facebook / cpc,Meme-meme Kocak Cristiano Ronaldo dan Ponsel,90.0,20.0,296.0,6.57777777777777,38.396694214876
google / cpc,"Kabar Duka, Sys NS Meninggal Dunia",81.0,42.8571428571428,296.0,4.69841269841269,10.0517928286852
facebook / cpc,"Istri Jual Suami Demi Layanan Fantasi, Polisi: Motifnya Ekonomi",242.0,100.0,287.0,10.6296296296296,63.949720670391
facebook / cpc,Grab akan Razia Driver yang Antar 'Tuyul',251.0,42.8571428571428,278.0,4.41269841269841,225.050279329608
facebook / cpc,"Kaget Makan di Restoran Bayar Rp 17 Juta, Turis Jepang Lapor Polisi",233.0,80.0,278.0,6.17777777777777,81.0117647058823
facebook / cpc,Liverpool Dikalahkan Tim Juru Kunci,242.0,53.3333333333333,269.0,1.99259259259259,187.168
facebook / cpc,Pembunuh Driver Taksi Online di Semarang Berhasil Ditangkap,224.0,66.6666666666666,269.0,9.96296296296296,62.1058823529411
facebook / cpc,Pelaku Diduga Membunuh Dera di Rumahnya,233.0,50.0,260.0,14.4444444444444,60.7171052631579
facebook / cpc,Juri Indonesia Idol Tak Tutup Mata tentang Video Syur Mirip Marion Jola,81.0,7.14285714285714,251.0,1.99206349206349,7.8969957081545
google / cpc,"Gempa 6,4 SR Guncang Jakarta",189.0,100.0,251.0,27.8888888888888,143.2
facebook / cpc,Siswi SMK di Banyumas Bunuh Bayi yang Baru Dilahirkannya,233.0,100.0,242.0,26.8888888888888,116.993788819875
facebook / cpc,"Tanggapi Aksi Pukul, Klub Moge: Harusnya Bisa Kontrol Diri",206.0,81.8181818181818,233.0,2.35353535353535,127.953271028037
facebook / cpc,Video Pengendara Moge Tabok Pengemudi Mobil,233.0,100.0,233.0,25.8888888888888,361.363636363636
facebook / cpc,"Dion Wiyoko dan Marshall Sastra Tantang Ivan Gunawan, Ada Apa Ya?",27.0,33.3333333333333,224.0,8.29629629629629,6.60913705583756
facebook / cpc,"Jokowi Minta Pemda Selaras dengan Pusat, ini Respons Anies",206.0,66.6666666666666,224.0,1.18518518518518,263.901408450704
facebook / cpc,"Tanggapi Penumpang 'Tuyul', Ini Kata Uber",180.0,37.5,224.0,3.11111111111111,166.55944055944
facebook / cpc,"Edan, Ponsel Ini Punya Baterai 13.000 mAh",198.0,76.9230769230769,215.0,1.83760683760683,101.685393258426
facebook / cpc,Gempa Keras di Jakarta Terasa Lebih dari 1 Menit,180.0,20.0,215.0,2.38888888888888,233.64
facebook / cpc,Jennifer Dunn dan Deretan Mobil Mewahnya,180.0,100.0,215.0,23.8888888888888,97.8367346938775
facebook / cpc,Kasus Salah Baca Xiaomi Terulang Kembali,180.0,83.3333333333333,215.0,1.99074074074074,178.449438202247
